,category,id,item_nm,item_price,url,img_url
41,table,795083,일립스 마블 대리석 패턴 철제 타원형 거실 소파테이블,"93,900원",https://ohou.se/productions/795083/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/1618831923_100604_12.jpg?gif=1&w=480&h=480&c=c
42,table,480751,그랑데 거실테이블 1200 접이식 쇼파테이블 사각형(보호캡증정) 4colors,"59,900원",https://ohou.se/productions/480751/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/160006470755693591.jpg?gif=1&w=480&h=480&c=c
43,table,373331,모듈 커피테이블 CT 1(아크릴-투명),"430,000원",https://ohou.se/productions/373331/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/159237552520165002.jpg?gif=1&w=480&h=480&c=c
44,table,101360,타우 사이드테이블,"79,000원",https://ohou.se/productions/101360/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/1551779053_100042_1.jpg?gif=1&w=480&h=480&c=c
45,table,561891,제니쉬 대리석 라운드 원형 거실 소파 골드 좌식 테이블,"179,000원",https://ohou.se/productions/561891/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/160505876568226425.jpg?gif=1&w=480&h=480&c=c
46,table,387731,순수원목 B테이블 접이식 거실테이블 2colors,"39,900원",https://ohou.se/productions/387731/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/159348557086252576.jpg?gif=1&w=480&h=480&c=c
47,table,324192,팬지 원목 좌식 거실테이블,"31,900원",https://ohou.se/productions/324192/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/160039782529618269.jpg?gif=1&w=480&h=480&c=c
48,table,387732,순수원목 B테이블라지 접이식 거실테이블 2colors,"49,900원",https://ohou.se/productions/387732/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/159349092591045343.jpg?gif=1&w=480&h=480&c=c
49,table,775013,땅콩형 거실 리프트 업 쇼파 테이블 4color,"229,000원",https://ohou.se/productions/775013/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/161778376160996521.jpg?gif=1&w=480&h=480&c=c
50,table,748252,[7%쿠폰] 멜로우 미니 사이드테이블 2colors,"47,000원",https://ohou.se/productions/748252/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/161596402532431097.jpg?gif=1&w=480&h=480&c=c
51,table,887864,모듈 아크릴 미니테이블 보조 협탁 선반 카페소품 - 정사각,"75,000원",https://ohou.se/productions/887864/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/162426544240053789.png?gif=1&w=480&h=480&c=c
